Producers,Headquarters,Value chain,Website,Species,Production process,Industry (Applications),Industry subsector tags,Investors,Association focus,Founding year,Start-up/scale-up?,Total disclosed investments since 2020,Development stage
Bioform,Canada,Applications,https://bioformtech.com/,,,Bioplastics / biomaterials,,"Ramen Ventures,Nelson Investments,Agribusiness Advisors,Sustainable Development Technology Canada,Something Good Ventures,Suzano Ventures",,2019,checked,"$5,000,000",Pilot / Demonstration
BioLabMate,Canada,Applications,https://www.biolabmate.ca/,,,Bioplastics / biomaterials,,"Blue Bio Value,Ocean Startup Challenge",,2023,checked,$0,Research / product development
Biomara,UK,"Applications,Processing",https://www.biomara.tech/,,,"Nutraceuticals,Pharmaceuticals",Biorefinery,Blue Bio Value,,2022,checked,"$650,000",Pilot / Demonstration
Biomarine,France,Multi-stakeholder platform,http://biomarine.org/,,,,,,Growing the industry,,,$0,
Biomaya,Mexico,"Farming & harvesting,Applications",https://www.biomaya.mx/,Sargassum sp.,Wild harvesting,"Personal care,HABs",,,,2020,,$0,
Biome Algae Ltd.,UK,"Farming & harvesting,Monitoring tech & software",https://biomealgae.co.uk/,,"Aquaculture,Offshore",,,Bright Tide Ocean/Blue Carbon Accelerator,,2018,checked,$0,Pilot / Demonstration
Bionema,UK,Applications,https://bionema.com/,Sargassum sp.,,Plant & soil nutrition,,,,,,$0,
Biopac,Indonesia,"Applications,Farming & harvesting",https://biopac.id/,,,Bioplastics / biomaterials,,,,2019,checked,$0,Validation / Traction
BioPilotsUK,UK,"Research,Processing",https://biopilotsuk.com/,,,,Biorefinery,,,,,$0,
BioPlaster Research,Mexico,Applications,https://www.bioplaster-research.com/,Sargassum sp.,,"Bioplastics / biomaterials,HABs",,Blue Bio Value,,2024,checked,$0,Research / product development
BioPrime Agri,India,Applications,https://bioprimeagri.com/,,,Plant & soil nutrition,,,,,,$0,
Biorma ,Venezuela,Farming & harvesting,http://biormaaquaculture.com/,"Kappaphycus alvarezii,Eucheuma denticulatum","Aquaculture,Wild harvesting",,,,,,,$0,
Biosea Health (Marine Algae Products),Philippines,"Farming & harvesting,Applications",https://bioseahealth.com/,,Aquaculture,Nutraceuticals,,,,2019,checked,$0,Validation / Traction
Biostadt,India,Applications,https://www.biostadt.com/,Ascophyllum nodosum,,Plant & soil nutrition,,,,1986,checked,$0,Mature / Public
Biotech Marine (Seppic),France,Farming & harvesting,https://www.seppic.com/en/about-us/production-sites/pontrieux-france,,Wild harvesting,Personal care,,,,,,$0,
Biotechnica,UK,Applications,https://www.biotechnica.co.uk/,Ascophyllum nodosum,,Plant & soil nutrition,,,,1993,checked,$0,Mature / Public
Biotic / Bio-Circular,Israel,Applications,https://biotic-labs.com/,,,Bioplastics / biomaterials,,"MassChallenge,Rockstart Agrifood,EIT Food Accelerator Network,Cambridge Agritech,Paseo Rosales,TenNine.vc,The Yield Lab Asia Pacific,UM6P Ventures (OCP),Norfolk Green Ventures,Blue Bio Value,Sea Ahead",,2020,checked,"$2,000,000",Pilot / Demonstration
Birufinery,Indonesia,"Applications,Farming & harvesting",https://birufinery.com/,,,Plant & soil nutrition,,,,2024,checked,$0,Research / product development
BLG / Shanghai Brilliant Gums,China,Applications,https://en.sh-blg.com/,,,Hydrocolloids,"Carrageenan,Agar",,,1996,,$0,
Bloom,USA,Applications,https://www.linkedin.com/posts/bloom-materials_a-seaweed-blob-twice-the-width-of-the-us-activity-7049488638853668864-XGNV/,Sargassum sp.,,Bioplastics / biomaterials,Foams,,,2023,checked,$0,Research / product development
BLUABLE,Japan,Conservation & restoration,https://www.fujitsu.com/global/about/resources/news/press-releases/2024/1203-01.html,,,Carbon sequestration,,,,2024,checked,$0,Pilot / Demonstration
Blue Carbon Japan,Japan,Conservation & restoration,https://bluecarbon.jp/,,,,,,,,,$0,
Blue Conservation Services,Australia,Consulting,https://blueconservation.com.au/,,,Carbon sequestration,,,,,,$0,
Blue Dot Sea Farms,USA,Farming & harvesting,https://bluedotseafarms.com/,,"Aquaculture,IMTA",Food,,Maritime Blue,,2018,checked,$0,Validation / Traction
Blue Evolution,USA,Farming & harvesting,https://blueevolution.com/,,Aquaculture,,,,,2013,checked,$0,Validation / Traction
Blue Fields,Sweden,Farming & harvesting,https://www.bluefields.se/,,,,,,,2022,,$0,
Blue Food,Sweden,"Multi-stakeholder platform,Research",https://www.kth.se/bluefood,,,,,,Research platform,,,$0,
Blue Green Mexico (Sargablocks),Mexico,"Farming & harvesting,Applications",http://blue-green.com.mx/,Sargassum sp.,Wild harvesting,"Construction,HABs",,,,,,$0,
Blue Harvest Technologies,Norway,Infrastructure & equipment,https://www.blueharvesttechnologies.com/,,,,,,,2024,,$0,
Blue Horizon BioMarine Innovations,Sweden,Farming & harvesting,https://www.bluehorizonbiomarine.com/https://www.bluehorizonbiomarine.com/,,,,,,,2024,,$0,
Blue Meadow (failed),USA,Monitoring tech & software,,,,,,Sea Ahead,,2021,checked,$0,Failed / Zombie
Blue Ocean Barns,USA,"Applications,Farming & harvesting",https://www.brominata.com/,Asparagopsis sp.,Aquaculture,Feed,Livestock methane reduction,"Elemental Excelerator,Valor Siren Ventures,Tao Capital Partners",,2019,checked,"$25,000,000",Pilot / Demonstration
Blue Pet Co.,Ireland,Applications,https://bluepetco.com/,"Fucus vesiculosus,Ascophyllum nodosum",,Feed,Pet food,Leap Venture ,,2020,checked,"$200,000",Validation / Traction
Blue Pond / Redbarn Group,Thailand,Applications,https://bluepond.group/,,Aquaculture,"Plant & soil nutrition,Feed",Aquafeed,Hatch,,2020,checked,$0,Validation / Traction
Blue Silo Aquaculture,USA,Infrastructure & equipment,https://bluesiloaqua.com/,,,,,,,,,$0,
Blue Ventures,UK,Multi-stakeholder platform,https://blueventures.org/,,,,,,Improving farmers' lives,,,$0,
Blue Wave Futures,USA,Farming & harvesting,https://bluewavefutures.com/,,Aquaculture,,,,,,,$0,
blue[c]weed,France,Consulting,https://www.bluecweed.com/,,,,,,,,,$0,
BlueBlocks,Netherlands,Applications,https://www.blueblocks.nl/,,,"Bioplastics / biomaterials,Construction",,Blue Bio Value,,2018,checked,$0,Pilot / Demonstration
BlueCarbon,New Zealand,Research,https://bluecarbon.co.nz/,,,Carbon sequestration,,,,,,$0,
BlueCs (failed),Norway,Certification,,,,,Ecosystem services certificate,,,2020,checked,$0,Failed / Zombie
BlueGreenery,Belgium,Farming & harvesting,https://www.linkedin.com/in/bert-groenendaal-1205671a/,,"Onshore,Aquaculture",,,,,2024,checked,$0,Pilot / Demonstration
Blugreens,UK,"Farming & harvesting,Applications",https://www.blugreens.co.uk/,,"Nearshore,Wild harvesting,Aquaculture",,,,,,,$0,
Blusink ,UK,"Conservation & restoration,Applications",https://www.blusink.com/,Rhodoliths,,Carbon sequestration,,Lifetime Ventures,,2021,checked,"$350,000",Research / product development
Bord à Bord (Algue Service),France,Farming & harvesting,https://www.bord-a-bord.fr/?lang=fr,"Himanthalia elongata,Palmaria palmata,Porphyra sp.,Saccharina latissima,Ulva sp.,Undaria sp.",Wild harvesting,,,,,,,$0,
Born Maverick,UK,Applications,https://bornmaverick.co.uk/,,,Food,Seafood substitute,,,2020,checked,$0,Research / product development
Borneo Ocean Nauly,Indonesia,Farming & harvesting,https://oceannauly.com/,"Gracilaria sp.,Kappaphycus alvarezii",,,,,,,,$0,
Botamedi,South Korea,Applications,https://www.thebotamedi.com/,Ecklonia cava,,"Pharmaceuticals,Nutraceuticals,Personal care",,DWS,,2001,checked,$0,Validation / Traction
Brandon Bioscience,Ireland,"Farming & harvesting,Applications",https://brandonbioscience.com/,Ascophyllum nodosum,Wild harvesting,Plant & soil nutrition,,EASME - EU Executive Agency for SMEs,,,,$0,
Bretagne Cosmétiques Marins (Thalion),France,"Farming & harvesting,Applications",https://www.thalion.com/,"Chondrus crispus,Fucus vesiculosus,Laminaria digitata,Lithothamnium calcareum,Palmaria palmata,Ulva lactuca,Undaria sp.",Wild harvesting,Personal care,,,,,,$0,
Bretalg,France,Farming & harvesting,https://www.bretalg.com/,"Himanthalia elongata,Palmaria palmata,Porphyra sp.,Saccharina latissima,Ulva sp.,Undaria Pinnatifida",Wild harvesting,Food,,,,1991,,$0,
Buanatama Fajar Abadi (Pr1megum),Indonesia,Applications,https://www.pr1megum.com/,,,Hydrocolloids,Carrageenan,,,,,$0,
Byotrol Technology Ltd,UK,Applications,https://byotrolplc.com/,,,Pharmaceuticals,,,,,,$0,
C-Bio (C & B Agri),Ireland,"Farming & harvesting,Applications",https://cbio.ie/,,Wild harvesting,Plant & soil nutrition,,Mitsui,,,,$0,
C-Weed,Tanzania,Farming & harvesting,https://cweed.com/,Eucheuma denticulatum,Aquaculture,,,,,,,$0,
C-weed Aquaculture,France,"Farming & harvesting,Applications",https://www.c-weed-aquaculture.com/,"Alaria esculenta,Saccharina latissima,Undaria sp.","Aquaculture,Offshore","Personal care,Food",,,,,,$0,
C.A. Goudey & Assoc. (Tendocean),USA,Infrastructure & equipment,http://www.cagoudey.com/,,,,,,,2018,,$0,
Cahaya Cemerlang (CC Carrageenan),Indonesia,Applications,https://cahayacarrageenan.com/home-ind.html,,,Hydrocolloids,Carrageenan,,,,,$0,
Caldic,Netherlands,Applications,https://www.caldic.com/,,,Hydrocolloids,"Agar,Alginate,Carrageenan",,,,,$0,
Canadian Kelp Resources,Canada,"Farming & harvesting,Applications,Consulting",https://canadiankelp.com/,"Saccharina latissima,Nereocystis luetkeana,Laminaria sp.,Alaria sp.,Macrocystis tenuifolia","Aquaculture,Wild harvesting",Food,,,,1982,,$0,
Canadian Pacifico Seaweeds,Canada,"Farming & harvesting,Infrastructure & equipment",https://canadianpacificoseaweeds.com/,,Aquaculture,"Personal care,Food",,"Protein Industries Canada,Ocean Startup Challenge",,2018,checked,"$1,400,000",Validation / Traction
Canopy Blue,Australia,Farming & harvesting,https://canopyblue.co/,,Aquaculture,,,,,2021,checked,$0,Research / product development
CapiPro,Norway,Applications,https://www.capipro.no/,,,Feed,Aquafeed,Blue Bio Value,,2023,checked,$0,Research / product development
Captain Blankenship,USA,Applications,https://captainblankenship.com/,,,Personal care,,,,2009,,$0,
Câr-y-Môr,UK,"Farming & harvesting,Applications,Processing",https://www.carymor.wales/,,"Aquaculture,IMTA","Plant & soil nutrition,Food",,,,2018,,$0,
Carbon Blueprint,Sri Lanka,Farming & harvesting,,Kappaphycus alvarezii,Aquaculture,,,,,2023,checked,$0,Research / product development
Carbon Kapture,UK,Farming & harvesting,https://carbonkapture.com/,,,,,,,,,$0,
Carbonwave (formerly C-Combinator),USA,"Farming & harvesting,Applications,Processing",https://carbonwave.com/,Sargassum sp.,Wild harvesting,"Plant & soil nutrition,HABs,Personal care,Bioplastics / biomaterials,Textiles",Biorefinery,"Baruch Future Ventures,Incite,Sea Ahead,Vidia Ventures,For Good Ventures,Cayuse Partners,City Light,We come from the sea,Crowdfunding,Katapult Ocean,Mirova,Popular Impact Fund,Viridios Capital,Pegasus Capital Advisors,Global Fund for Coral Reefs",,2020,checked,"$17,837,547",Validation / Traction
Cargill,USA,Applications,https://www.cargill.com/food-bev/na/carrageenan,,,Hydrocolloids,"Carrageenan,Alginate",,,,,$0,
Cascadia Seaweed,Canada,"Farming & harvesting,Applications",https://www.cascadiaseaweed.com/,"Saccharina latissima,Alaria marginata,Palmaria mollis,Neoagarum,Macrocystis tenuifolia",Aquaculture,"Plant & soil nutrition,Feed",,"Norfolk Green Ventures,Bloomsbury Natural Capital,Na'-Nuk Investment Fund,Earth Tech 2050,Keiretsu Capital,CICE,SDTC,WWF,Potato Impact Partners,Vertuelab Climate Impact Fund,Real Estate Foundation of British Columbia,Realize Impact,Vere Ventures",,2019,checked,"$7,125,000",Validation / Traction
Cashi Cake (Mysaky Tokyo / Oomee),USA,Applications,https://misaky.tokyo/,,,Food,Agar,"Chiba Dojo,Coconala Skill Partners,Euglena,Headline Asia,Mitsubishi Foods,Mitsui Sumitomo Insurance Capital,SMBC Venture Capital",,2019,checked,"$4,965,000",Validation / Traction
CCMAR,Portugal,"Consulting,Research",https://ccmar.ualg.pt/en/our-services,,,,,,,,,$0,
Ceamsa,Spain,"Farming & harvesting,Applications",https://www.ceamsa.com/,,Wild harvesting,Hydrocolloids,"Carrageenan,Alginate",,,1967,,$0,
Celebes Seaweed Group,Indonesia,"Farming & harvesting,Applications",,Gracilaria sp.,Aquaculture,Hydrocolloids,Agar,,,,,$0,
Celtic Sea Minerals (Marigot),Ireland,Applications,https://celticseaminerals.com/,Lithothamnium calcareum,,"Feed,Nutraceuticals",Livestock feed,,,1991,,$0,
Central Seaweed Indonesia,Indonesia,Farming & harvesting,,"Kappaphycus alvarezii,Eucheuma denticulatum",,,,,,,,$0,
Centre for Process Innovation,UK,Research,https://www.uk-cpi.com/,,,,,,,,,$0,
CEVA,France,"Research,Consulting",https://www.ceva-algues.com/en/,,,,,,,,,$0,
Ceylon Aqua & Agri ,Sri Lanka,Farming & harvesting,https://www.ceylonaquaandagri.com/,Kappaphycus alvarezii,"Aquaculture,IMTA",,,,,2020,checked,$0,Validation / Traction
CFD Sales Inc.,Japan,Monitoring tech & software,https://robotstart.info/2021/04/20/fishing-ground-5g-surveillance-demonstration.html,,,,,,,,,$0,
CH4Global,USA,Farming & harvesting,https://www.ch4global.com/,Asparagopsis sp.,Aquaculture,Feed,Livestock methane reduction,"South Australian Research & Development Institute,New Zealand Provisional Growth Fund,DCVC / DCVC Bio,K1W1 - Stephen Tindall,Cleveland Avenue",,2019,checked,"$45,000,000",Validation / Traction
Chambre Syndicale des Algues et Végétaux Marins (French Seaweed Industry Association),France,Multi-stakeholder platform,https://www.chambre-syndicale-algues.org/,,,,,,Producers association,,,$0,
Channelled Atlantic,UK,Applications,https://www.channelledatlantic.co.uk/,,,Plant & soil nutrition,,,,2021,checked,$0,Pilot / Demonstration
Chatham Kelp,USA,Farming & harvesting,https://www.chathamkelp.com/,Saccharina latissima,,,,,,,,$0,
Cheong Jeong Co,South Korea,Applications,http://icjfood.co.kr/eng/,,,Food,"Snacks and seasoning,Dried/raw seaweed",,,,,$0,
Chudao Aquatic Food Co.,China,Farming & harvesting,https://impaqtproject.eu/an-interview-to-discover-imta-site-in-china-sanggou-bay/,Saccharina sp.,"IMTA,Aquaculture",,,,,,,$0,
CJ CheilJedang,South Korea,Applications,https://www.cj.co.kr/,,,Food,"Snacks and seasoning,Dried/raw seaweed",,,,,$0,
CleanEyre Global,Australia,"Breeding & propagation,Farming & harvesting",https://cleaneyreglobal.com/,"Asparagopsis taxiformis,Asparagopsis armata",Onshore,,Livestock methane reduction,,,2022,checked,$0,Pilot / Demonstration
ClimaCrew,India,"Breeding & propagation,Infrastructure & equipment,Monitoring tech & software,Applications",https://www.climacrew.in/,"Gracilaria dura,Kappaphycus alvarezii,Ulva sp.,Monostroma sp.",Aquaculture,Plant & soil nutrition,,,,2021,checked,$0,Pilot / Demonstration
Climate Foundation,USA,"Research,Conservation & restoration",https://www.climatefoundation.org/,,,,,,,,,$0,
Cluster Algues,France,Multi-stakeholder platform,https://www.clusteralgues-bretagne.com/,,,,,,Growing the industry,,,$0,
CMD Industries,South Africa,Processing,https://www.cmdindustries.co.za/,,,Plant & soil nutrition,Biorefinery,,,2014,checked,$0,Research / product development
Coast 4C,Australia,"Consulting,Applications,Multi-stakeholder platform",https://www.coast4c.com/,,,,,"Conservation International Ventures,Hatch",Improving farmers' lives,,,"$500,000",
Coastal BioTech,Tanzania,Applications,https://coastalbiotech.co.tz/,,,"Plant & soil nutrition,Feed",,Oceanhub Africa,,2024,checked,$0,Research / product development
Coastal Farms Australia,Australia,Farming & harvesting,https://www.coastal-farms.com/,,Aquaculture,,,,,,,$0,
Codif,France,Applications,https://www.codif-tn.com/en/,,,Personal care,,,,2002,checked,$0,Mature / Public
Cold Current Kelp,USA,"Farming & harvesting,Applications",https://coldcurrentkelp.com/,Saccharina latissima,Aquaculture,Personal care,,,,2021,,$0,
Colruyt,Belgium,Farming & harvesting,https://www.colruytgroup.com/nl/duurzaam-ondernemen/initiatieven/zeeboerderij,,"Aquaculture,IMTA",,,,,,,$0,
Connemara,Ireland,"Farming & harvesting,Applications",https://www.connemaraseaweedcompany.ie/,,Wild harvesting,"Personal care,Food,Plant & soil nutrition",,,,,,$0,
Conservas Costera,Spain,Farming & harvesting,https://www.conservascostera.com/,"Laminaria ochroleuca,Palmaria palmata,Saccharina latissima",Wild harvesting,Food,,,,,,$0,
Conservas Mar de Ardora,Spain,Farming & harvesting,https://mardeardora.es/,"Codium sp.,Himanthalia elongata,Porphyra sp.,Ulva sp.,Undaria sp.",Wild harvesting,Food,,,,,,$0,
Conservation International,USA,Conservation & restoration,https://www.conservation.org/,,,,,,,,,$0,
Coral Bioworks,Chile,Processing,https://www.coralbioworks.com/,,,,Biorefinery,Blue Bio Value,,2024,checked,$0,Research / product development
Cosmetique Thermes Marins,France,Applications,https://www.cosmetique-thermesmarins.com/en/,,,Personal care,,,,,,$0,
Cottage City Oysters,USA,Farming & harvesting,https://cottagecityoysters.com/,,"Aquaculture,IMTA",,,,,,,$0,
Cottonii Group Lda.,Timor-Leste,Farming & harvesting,https://marketdevelopmentfacility.org/wp-content/uploads/2023/08/Partner-FS_Cottonii.pdf,Kappaphycus alvarezii,Nearshore,,,,,2008,,$0,
CP Kelco,USA,"Farming & harvesting,Applications",https://www.cpkelco.com/,,Wild harvesting,Hydrocolloids,Carrageenan,,,,,$0,
Crubag,UK,Applications,https://crubag.co.uk/,,,"""Pigments, inks, dyes, coatings""",,,,,,$0,
Cultivos Marinos San Cristobal/Casan SA,Chile,Farming & harvesting,https://abalone.cl/,,"Aquaculture,Wild harvesting",,,,,2013,,$0,
Cup of Sea,USA,Applications,https://www.cupofsea.me/,,,Food,Drink,,,,,$0,
CV Maikan Prima Sipadecengi,Indonesia,Farming & harvesting,,Kappaphycus alvarezii,,,,,,,,$0,
CV. Adiwandy Hanania Mandiri,Indonesia,Farming & harvesting,,,,,,,,,,$0,
Cweed Aqua Solutions,Malaysia,"Farming & harvesting,Applications",https://drcweedaquasolutions.com/,Gracilaria sp.,Onshore,Food,,,,,,$0,
Cybercolloids,Ireland,"Applications,Consulting,Research",https://cybercolloids.net/,,,Hydrocolloids,"Alginate,Agar,Carrageenan",,,,,$0,
Daechang Food Co (Chosun Kim),South Korea,Applications,http://daechangfood.com/,,,Food,"Snacks and seasoning,Dried/raw seaweed",,,,,$0,
Daecheon Kim,South Korea,Applications,https://www.15889293.com/,,,Food,"Snacks and seasoning,Dried/raw seaweed",,,,,$0,
Daehan,South Korea,Applications,https://xn--vk1b59mxte02y.com/,,,Food,"Snacks and seasoning,Dried/raw seaweed",,,1996,,$0,
Daesang,South Korea,Applications,https://www.daesang.com/,,,Food,"Snacks and seasoning,Dried/raw seaweed",,,,,$0,
Daichu Foods Co.,Japan,Applications,http://www.daichu-foods.co.jp/,,,Food,Dried/raw seaweed,,,,,$0,
"Daishan Jili Seaweed Co., Ltd. ",China,"Applications,Farming & harvesting",http://www.jili-seaweed.com/introduction-e.htm,,,Hydrocolloids,"Iodine,Alginate",,,1998,,$0,
Dakini Tidal Wilds,Canada,Farming & harvesting,https://www.dakinitidalwilds.com/,,Wild harvesting,Food,,,,,,$0,
Dalca Innova,Chile,"Conservation & restoration,Farming & harvesting",https://en.dalcainnova.com/,Chondracanthus chamissoi,Aquaculture,,,,,2017,,$0,
Damah,South Korea,Applications,https://kiukimium.com/,,,Food,,,,,,$0,
Danish Seaweed / Dansk Tang,Denmark,Farming & harvesting,https://www.danish-seaweed.com/,"Chorda filum,Chondrus sp.,Delesseria sanguinea,Fucus serratus,Fucus vesiculosus,Furcellaria lumbricalis,Laminaria digitata,Saccharina latissima,Ulva sp.,Ascophyllum nodosum",Wild harvesting,Food,,,,,,$0,
